Comment,Likes,Comment_EN,Polarity,Sentiment
denger “naik perahu” fatimah sampe kaget😭 krn that’s the POINT infrastruktur lebih penting,1.1K,"When I heard Fatimah's ""boat ride"" I was shocked 😭 because that's the POINT infrastructure is more important",0.0666666666666667,Positif
fatimah azahra publik speaking nya udah bisa mantatin presiden sama wakilnya😂,524,Fatimah Azahra's public speaking has been able to control the president and his deputy😂,0.25,Positif
Bapak baju hitam punya banyak dapur di daerah Sulawesi makanya membela banget program ini,45,"Mr. Black has many kitchens in the Sulawesi area, so he really defends this program",0.1777777777777778,Positif
Dukung mahasiswa untuk indonesia lebih baik,427,Support students for a better Indonesia,0.5,Positif
"PREEET itu pak siapa yg mewakili pemeritah dari gerindra, perputaran ekonomi apa ???, pasar tradisional skrg sepi pembeli, pedagangnya jg kesulitan membeli (kulakan) dg harga yg sdh tinggi krn sdh diborong SPPG, akhirnya pedagang kecil kesulitan menjual dagangannya krn hrg jd mahal.",435,"PREEET sir, who represents the government from Gerindra, what is the economic turnaround???, traditional markets are now devoid of buyers, traders are also having difficulty buying (wholesale) at prices that are already high because they have been bought up by SPPG, in the end small traders are having difficulty selling their wares because the prices are so expensive.",-0.08166666666666667,Negatif
RISPEKK BGT SAMA KAK FATIMAH LUVV SANGAT MEWAKILKAN RAKYATT,22,GREAT RISPEKK WITH SISTER FATIMAH LUVV REPRESENTING THE PEOPLE,0.8,Positif
Nama dia aja sebagus itu. Bercahaya banget sesuai nama,186,Even his name is that good. Very bright as the name suggests,0.805,Positif
polisi tidak netral dan sdh berpihak ke penguasa krn punya dapur2x MBG,577,The police are not neutral and have sided with the authorities because they own MBG's kitchens,0.6,Positif
"nahhh ini fungsi MBG itu, biar siswa kuat dayung, hiking, renang, panjat tebing, arum jeram, caving setelah pulang sekolah menuju rumahnyaa, yasalammm",157,"Well, this is the function of MBG, so that students can be strong in rowing, hiking, swimming, rock climbing, white water rafting, caving after school and going home, yasalammm",0.21666666666666667,Positif
Hitung juga berapa banyak porsi yang kebuang jadi pakan ternak. Gak dimakan siswa wkwkw,608,Also calculate how many portions are wasted as animal feed. The students didn't eat it hahaha,0.16666666666666666,Positif
"Harusnya dari awal MBG diprioritaskan untuk T3, bukan diperkotaan dulu.",66,"MBG should have been prioritized for T3 from the start, not urban areas first.",0.125,Positif
"Dia biling mengutungkan UMKM
UMKM yg mana dulu??? 
Lu liat noh UMKM PKL di sekitar sekolahan, boro boro untung semenjak ada MBG dagangan mereka sepi modal terus ke gerus, sebagian UMKM PKL yg di perkampungan menjual makanan tumbang gulung tikar yg masih bertahan pendapatan mereka morosot semenjak ada MBG,, kalo gak percaya silakan survey aja ke setiap sekolahan, MBG di jadikan gurita bisnis dapur para parpol, polisi TNI semua punya bisnis dapur yg kaya makin kaya, sedangkan PKL yg rakyat miskin semakin miskin, di tambah bahan baku pada naik pedagang kecil semakin miskin semakin menderita,
Bener apa kata Fatimah",131,"He said it would benefit MSMEs
Which UMKM first??? 
You look at the PKL UMKMs around schools, they are making a lot of profit since there was MBG, their business is running out of capital and they are being eroded, some of the PKL UMKMs in the villages who sell food have gone bankrupt and are still surviving, their income has plummeted since there was MBG, if you don't believe me, just do a survey at every school, MBG has been used as an octopus for the political parties' kitchen businesses, the TNI police all have kitchen businesses, the rich are getting richer, while the PKLs the poor people",0.056249999999999994,Positif
JUBIR GERINDRA YAA 100% MEMBELA PRABOWO WKWK,181,GERINDRA SPOKE YES 100% DEFENDS PRABOWO WKWK,0.0,Netral
"Ya Allah lindungi anak"" mahasiswa",149,"Ya Allah, protect students and children",0.0,Netral
"Yg wajib wajib di abaikan oleh negara sangat jelas.. yg receh receh di pertegas.. ngapain negara ngurusin makan 😂.. toh selama ini rakyat bisa makan cari sendiri. 

Yg wajib negara ya cerdas kan bangsa dan pelihara dna sejahterakan fakir miskin. 

Bubarkan MBG banyak Mudharat nya",49,"What must be ignored by the state is very clear.. the small change is emphasized.. why is the state taking care of food 😂.. after all this time the people have been able to find their own food. 

What is obligatory for the state is to be smart as a nation and look after and prosper the poor. 

Dissolving MBG will have many disadvantages",0.18489795918367344,Positif
"Bangkit mahasiswa
Demi perbaikan bangsa",142,"Rise up students
For the betterment of the nation",0.0,Netral
لَا إِلٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,8,لَا إِلٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,0.0,Netral
"Di kampung saya walaupun Plosok miskin tapi kalo soal makanan sehari hari sudah biasa makan makanan kayak MBG itu, yang kami inginkan adalah di sediakan lapangan kerja untuk masyarakat di merata tempat, dan harga barang pokok rakyat jangan terus di naikan harga.",193,"In my village, even though Plosok is poor, when it comes to daily food, we are used to eating food like MBG. What we want is to provide employment opportunities for people in all places, and the prices of people's basic goods should not continue to increase.",-0.13333333333333333,Negatif
"LANJUTKAN MAHASISWA. DANA MBG SEBANYAK ITU MALAH DIBUAT BELI MAKANAN DOANG TANPA MIKIRIN EFEKNYA UNTUK NEGARA SEMUA KENA EFISIENSI DANA CUMA BUAT MBG SAMA KOPDES DOANG. NILAI RUPIAH MENINGKAT, BBM NAIK YA ITU DAMPAK DARI DANA YG DIHAMBUR HAMBURIN",328,"CONTINUE STUDENTS. THAT MUCH OF MBG FUNDS ARE EVEN MADE FOR BUYING FOOD WITHOUT THINKING ABOUT THE EFFECT FOR THE COUNTRY AS WELL AS THE EFFICIENCY OF THE FUNDS IS JUST FOR MBG AND KOPDES ONLY. THE VALUE OF THE RUPIAH IS INCREASING, BBM IS INCREASING, THAT'S THE IMPACT OF THE FUNDS SPENDED BY HAMBURIN",0.1,Positif
"Menurut aku sih mbg harus diberhentikan aja ya karna cuman anak2 yang dapat makanan, orang tua banting tulang semua kebutuhan pokok makin mahal karna mbg yang cuman 1 hari sekali itu pun tidak mengenyangkan mending programnya diganti dengan kebutuhan pokok diturunkan harga jualbelinya ,ini akan lebih bermanfaat jadi anak2 dan orang tua semua dapat manfaatnya",26,"In my opinion, mbg should just be stopped because only the children get food, parents are working hard to make all basic necessities more expensive because mbg, which is only once a day, isn't filling, it's better if the program is replaced with basic necessities, lowering the buying and selling prices, this will be more beneficial so both children and parents can all benefit.",0.07870370370370369,Positif
"dalem hatinya ""tu tau peaa""",92,"in his heart ""you know what""",0.0,Netral
"Ekspresi fatimah gemesin dah, dalam hati ""Whattt...??""",39,"Fatimah's expression was confused, in her heart ""Whattt...??""",-0.4,Negatif
"Stop mbg utamakan pendidikan dan infrastruktur,toh stunting masih naik sampai sekarang 😂 padahal udah menghabiskan dana Rp32,1 triliun,gileeeee era prabowo 😢. Elu ambil dana pendidikan utk hal yang gak penting padahal sdm Indonesia aja masih dibawah rata2 😂😂😂 , minimal kalau mau makan gratis ,kasih ke Papua dulu yang bener2 membutuhkan",18,"Stop prioritizing education and infrastructure, yet stunting is still increasing to this day 😂 even though IDR 32.1 trillion has been spent, gleeeeee the Prabowo era 😢. You take education funds for unimportant things even though Indonesia's human resources are still below average 😂😂😂, at least if you want free food, give it to Papua first who really needs it",-0.01249999999999999,Negatif
​ @MumuchaCha01 kak lihat berita ngk di ada 300 lbih kepsek korup dana Bos,5,"​ @MumuchaCha01 bro, look at the news, there are more than 300 corrupt principals with funds, Boss",0.0,Netral
Ita tau anda gk butuh skrng coba lihat 5-10 thn lagi boleh jadi anda dibawah org2 papua,1,"You know, you don't need it now, try looking in 5-10 years, maybe you will be below the people of Papua",0.0,Netral
" @MumuchaCha01   utamakan pendidikan dan infrastruktur? wkwk di pikir MBG bikin infrastructur dan pendidikan ga di utamain? AHAHHA lu cuma ngeliat MBG nya doang kan karna yang VIRAL cuma MBG, soal sekolah rakyat?, ribuan revitalisasi sekolah?, trus udah brpa puluh jembatan yang udah di bikin buat mempermudah akses GA PERNAH LU LIAT KAN, yang seharusnya kerjaan pemda malah pusat yang ngerjain",3,"@MumuchaCha01  prioritize education and infrastructure? Wow, do you think MBG will make infrastructure and education not a priority? AHAHHA, you only look at the MBG, right because the only thing that is VIRAL is the MBG, about people's schools?, thousands of school revitalizations?, then how many tens of bridges have been built to make access easier, YOU HAVE NEVER SEEN IT, RIGHT, what should be the work of the regional government, instead the center is doing the work.",0.1530612244897959,Positif
iya lagi😂,15,yes again😂,0.0,Netral
"Jalan dan jembatan  itu ada kelas2 tanggung jawabnya ada yang di lakukan pusat, provinsi dan kabupaten, selama bertahun tahun apa saja yang di lakukan pemda dan dana desa??? krn ketidak efisienanya pemda pemerintah pusat mengambil alih ada 300.000 jembatan yang di kerjakan batalio pembangunan untuk jembatan gantung.",3,"Roads and bridges have two categories of responsibility, some are carried out by the central, provincial and district levels. Over the years, what has been done by the regional government and village funds??? Due to the inefficiency of the regional government, the central government took over 300,000 bridges which were being worked on by construction battalions for suspension bridges.",-0.041666666666666664,Negatif
"​ @farizyuniar1637 pernah dengar ga, ada efiensi anggaran besar2 dr dr segala sektor hanya untuk ambisi menjalankan MBG DAN KOPDES, bahkan anggaran kesehatan juga di pangkas buat itu,",15,"​ @farizyuniar1637 have you ever heard that there are huge budget efficiencies from all sectors just for the ambition of running MBG AND KOPDES, even the health budget has also been cut for that,",0.39999999999999997,Positif
​ @farizyuniar1637 justru harusnya dr pusat ada pengawasan...masa sawit aja yg dipelosok keliatan di depan mata..tp hal yg kayak gtu malah kaga keliatan ama pusat??????,3,"​ @farizyuniar1637 In fact, there should be supervision from the center...even the palm trees in remote areas are visible before our eyes...but things like that are not visible to the center??????",-0.1,Negatif
Wkwk senjata makan tuan,1,"Wow, it's a weapon to eat, sir",0.1,Positif
Lebih penting perbaiki rumah mu? dibanding memberi makan anak mu?,1,Is it more important to repair your house? rather than feeding your child?,0.45,Positif
"​ @muhamadfaizal2991 memberi makan anak adalah kewajiban orang tua
Dan memperbaiki infrastruktur adalah kewajiban pemerintah, sampe sini paham?",16,"​ @muhamadfaizal2991 feeding children is a parent's obligation
And improving infrastructure is the government's obligation, up to this point, understand?",0.0,Netral
"​ @muhamadfaizal2991 konteksnya beda laaaahhhh....logikanya gini yaaa...itu anak2 pergi k sekolah beresiko besar yg bisa mengancam nyawa mereka sewaktu2..iya klo mereka bisa nyampe k sekolah buat ngerasain tu MBG, klo engga nyampe????amit2 ya..naudzubillah..logika lo tu ga Apple to Apple..",0,"​ @muhamadfaizal2991 the context is different... the logic is like this... it's a big risk for children going to school which can threaten their lives at any time... yes, if they can get to school to feel like it's MBG, if they don't get there?",0.0,Netral
"Maaf banget ya argumen Fatimah Zahra tentang mana yang lebih urgent Infrastruktur atau program makan, saya lebih berpendapat lebih urgent program makan dulu ketimbang infrastruktur program makan ini sifatnya memutar roda ekonomi rakyat, ada pedagang yang dibeli, ada petani yang hasilnya dibeli, ada pekerja dapur ada supir pengantar ada spareparts mobil yang beli dari bengkel itu semua memutar roda  ekonomi yang selama ini lagi mandek alias rakyat sudah tidak punya daya beli. Infrastruktur dengan alasan perbaikan jalan dan jembatan agar anak bisa sekolah memang bagus tapi itu waktunya lama dan manfaatnya juga lebih banyak untuk kalangan menengah atas sedangkan anak anak sekolah umumnya jarak antara sekolah dan rumahnya tidak begitu jauh kecuali ada beberapa di daerah, mohon maaf kita gak bisa fokus ke satu daerah saja tanpa mikirin yang lain.",1,"I'm really sorry for Fatimah Zahra's argument about which is more urgent: Infrastructure or the food program, I think the food program is more urgent first than infrastructure. This food program is about turning the wheels of the people's economy, there are traders who are bought, there are farmers whose produce is bought, there are kitchen workers, there are delivery drivers, there are car spare parts that are bought from repair shops. These all turn the wheels of the economy which has been stagnant, aka the people no longer have purchasing power. Infrastructure with",0.1875,Positif
​ @Yudha752007  ah masa sih..serius...coba mau ada data kah brpaan % orang yg setuju sma proyek korup ini,0,​ @Yudha752007  ah really...seriously...want to have data on how many % of people agree with this corrupt project,0.0,Netral
"​ @Yudha752007 berapa persen pedagang yang dibeli pihak sppg? Turun ke pasar sini mas, lihat realitanya di lapangan.",0,"​ @Yudha752007 what percentage of traders does sppg buy? Come down to the market here, bro, see the reality on the ground.",-0.15555555555555556,Negatif
" @Yudha752007  Bangun infrastruktur itu juga memutar roda ekonomi.

Poinnya kalo ada infrastruktur, kendaraan jadi lebih mudah sampai ke tujuan, atau bahkan BISA sampai ke tujuan yang sebelumnya tidak bisa dicapai karena tidak ada jalan misalnya. Jadi, infrastruktur bisa menciptakan aksesbilitas ke tempat-tempat dan atau membuat aksesibilitas jadi lebih mudah. MBG itu cuman solusi jangka pendek, dan sebaiknya dilakukan kalo keadaan ekonomi sudah stabil.

Kalo cuman ngomonging soal ""memutar roda ekonomi"" secara dangkal mah ya, semua kegiatan, bahkan tindakan kriminal sebenarnya secara dangkal juga ""memutar roda ekonomi"", tapi liat skala lebih besarnya gimana.",0,"@Yudha752007  Building infrastructure also turns the wheels of the economy.

The point is that if there is infrastructure, it will be easier for vehicles to get to their destination, or they CAN even get to destinations that previously could not be reached because there were no roads, for example. So, infrastructure can create accessibility to places and/or make accessibility easier. MBG is only a short-term solution, and should be implemented when the economic situation is stable.

If you're just talking about ""spinning the wheel",0.011111111111111118,Positif
"kek ""trus lu kasih MBG biar mereka ada tenaga buat naik perahu pas pulang gitu?"" XD",1,"kek ""Then you give them MBG so they have the energy to take the boat when they get home?"" XD",0.0,Netral
"Jujur, kalo gua daripada mikirin ngisi perut.. mendingan bikin gedung sekolahnya sajq biar mereka berangkat sekolah lebih dekat dr rumah, agar tidak perlu cape2 dan jauh naek perahu..",1,"Honestly, if I were thinking about filling my stomach... it would be better to just build a school building so that they go to school closer to home, so they don't have to get tired and take a long boat ride...",0.1625,Positif
​ @AMBASURYANA mantap nii,0,​ @AMBASURYANA that's great,0.8,Positif
Patimahkan orang pendukung bsa pastilah tidak setuju programnya prabowo.,0,"Patimahkan, people who support BSA definitely don't agree with Prabowo's program.",0.0,Netral
Dan pada akhirnya anak2 sekolah bukan karna ingin belajar pintar tp hanya ingin mengambil manakan 😂,0,"And in the end, children go to school not because they want to learn to be smart, but just because they want to eat food 😂",0.21428571428571427,Positif
"Dalam debat ya, kalau mau counter ya ambil pendapat dia yg hoomnya bisa ditimbal balik",0,"In a debate, if you want to counter, take the opinion of the person whose opinion can be countered",0.0,Netral
"Bjir di TT gua liat klip video gini di edit digiring buat penonton salah paham 😂. 
Apalagi yg cuma nonton nonton aja tanpa berpikir apakah itu benar faktanya😂",0,"In TT, I saw a video clip like this edited to make the audience misunderstand 😂. 
Especially those who just watch it without thinking whether it's actually true😂",0.0,Netral
Sebaran banyak di kota karena dikhianati....Prabowo percacaya penuh kepada orang yang memimpin MBG.....artinya bukan di stop....tapi dibenahi....Bang Ferryyyyyy.....😂😂😂😂😂,0,There were a lot of people spreading around the city because they were betrayed....Prabowo has full confidence in the person who leads MBG.....which means it's not stopping....but fixing it....Bang Ferryyyyyy.....😂😂😂😂😂,0.35,Positif
"Infrastruktur memang penting dan mendesak, hanya saja penyelesaian masalah infrastruktur membutuhkan waktu. Pemerintah sudah mengerjakan tugas tersebut. Tetapi hal ini tidak berarti MBG harus dihapuskan secara keseluruhan. MBG juga tetap diperlukan terutama di daerah2 yg tertinggal, terluar, dan terdalam, termasuk yang infrastrukturnya kurang tersebut.",0,"Infrastructure is indeed important and urgent, but solving infrastructure problems takes time. The government has done this task. But this does not mean that MBG should be abolished altogether. MBG is also still needed, especially in underdeveloped, outermost and deepest areas, including those where infrastructure is lacking.",0.18541666666666667,Positif
INDONESIA MEMANG SUMBER KORAPSI TAK TAHU DOSA SEDANG NKRI UMUM ISLAM,0,INDONESIA IS THE SOURCE OF CORRAPTION DOESN'T KNOW SIN WHILE THE NKRI IS GENERALLY ISLAMIC,0.05000000000000002,Positif
Lah bgo infrastruktur itu urusan kepala daerah bgo sebanyak apa pun dana dari pusat kalau di korup sama pemerintah daerah nya ya gak akan jadi tu infrastruktur,0,"Well, infrastructure is the business of regional heads, no matter how much funding comes from the center, if the regional government is corrupt, it won't become infrastructure.",-0.13333333333333333,Negatif
logikanya gimana dah jubir gerindra ini,0,What's the logic behind this Gerindra spokesperson?,-0.4,Negatif
14:15 perubahan ekspresinya ada banget😂,0,14:15 there's a big change in expression😂,0.0,Netral
"Fatimah,..pejuang intelektual muda ❤",0,"Fatimah,..young intellectual warrior ❤",0.3,Positif
Naik perahu masih mending.. Ada tuh yang pake tapi tambang... Ngeriii.. Solusinya dikasih mbg.. Lah dari dulu gak ada mbg urusan makan itu otomatis bisa...,0,"It's still better to take a boat... There are those who use it but it's a mine... It's scary... The solution was given by mbg... Well, from the past, mbg didn't have anything to do with eating, so you can automatically...",-0.08333333333333333,Negatif
"Programnya bagus, tapi banyak yg memanfaatkan dan menyalahgunakan.., Soalnya kalau dilihat dari pertanian, para petani harga stabil ada MBG, gak ada yg demo harga turun karena pemain tengkulak, sebenarnya anggarannya yg dibenahi, bukan pangkas dana pendidikan dan itu tugas presiden saat ini, yang jelas harus tepat sasaran, misalnya lebih ke pengambilan sesuai dengan jatah orang kurang mampu dan bukan seluruh sekolah dapat, lebih baik rutin setiap hari tapi dibagikan anak anak yg bener butuh ya, dari pada di bagi seminggu 2x dan masa anak pejabat juga dapet, sasarannya aja yg tidak tepat, kalau seandainya di ganti uang, kalau orang tuanya bener bisa manage keuangan itu oke, kalau ketemu orang tua pejudi yg tidak memikirkan kesehatan gizi anak? Pro kontra sih menurut aku tergantung sudut pandang, lebih baik urus yg maling tambang aja..😂",2,"The program is good, but many people use it and abuse it... The thing is, if you look at agriculture, the prices for farmers are stable, there is MBG, no one is demonstrating that prices are going down because of middlemen, in fact it is the budget that is being fixed, not cutting education funds and that is the job of the current president, which clearly has to be right on target, for example it should be more about taking according to the share of the less fortunate and not all schools getting it, it is better to do it regularly every day but distribute it to children who really need it, OK?",0.2508994708994709,Positif
" @TragediYT  mengenai gizi anak, orang tua TAU DAN SANGAT TAU apa2 yg bergizi mana yg tidak. yg jd mslh adlh orang tua TIDAK MAMPU menjangkau harga bahan pangan itu. yg harus dibenahi adlh, bagaimana caranya orang tua mampu membeli bahan pangan itu. bs dgn menaikkan UPAH atau ""membuat"" harga pangan menjadi terjangkau",3,"@TragediYT  regarding children's nutrition, parents KNOW AND REALLY KNOW what is nutritious and what is not. The problem is that parents CANNOT afford the price of food. What needs to be addressed is how parents can afford to buy food. can be done by increasing WAGES or ""making"" food prices affordable",0.2,Positif
"​ @TragediYT Ya kan dari awal emang sudah dicegah dari kalangan masyarakat dan mahasiswa. Kan udah pasti jadi ladang korupsi, mau gimana lagi. Sistemnya aja bermasalah ya sudah pasti programnya bermasalah juga",1,"​ @TragediYT Yes, from the start it was prevented from the community and students. It's sure to become a field for corruption, what can we do? Even if the system has a problem, it's certain that the program has a problem too",0.35714285714285715,Positif
" @TragediYT  sebenarnya banyak cara untuk membantu petani dan peternak demi menstabilkan harga yg diterima peternak maupun petani. contoh subsidi pupuk maupun pakan. subsidi kesehatan ternakberupa bantuan dokter2 hewan, hapuskan sistem tengkulak, bantu petani dan peternak untuk terhubung lgsg dgn toko2 dan atau konsumen akhir. krn yg merusak harga itu sebenarnya adlh para tengkulak",0,"@TragediYT  actually there are many ways to help farmers and breeders to stabilize the prices received by breeders and farmers. examples of fertilizer and feed subsidies. livestock health subsidies in the form of assistance to veterinarians, eliminating the middleman system, helping farmers and breeders to connect directly with shops and/or end consumers. because the ones who destroy prices are actually the middlemen",0.07999999999999999,Positif
Bedakan program pemerintah pusat dan program daerah,1,Distinguish between central government programs and regional programs,0.0,Netral
​ @fahriiimfw8177 ya kalo pusat dah tau itu masalah kenapa ngga di bantu arahin?,18,"​ @fahriiimfw8177 Well, if the center already knew it was a problem, why didn't they help direct it?",0.0,Netral
 @fahriiimfw8177  lu gatau anggaran daerah diefisiensi buat MBG dan Kopdes? Tau ga heh jawab,10,"@fahriiimfw8177  don't you think regional budgets have been made efficient for MBG and Kopdes? Do you know, answer?",0.0,Netral
​ @fahriiimfw8177 lah kocak,3,​ @fahriimfw8177 is hilarious,0.5,Positif
"Jokowi fokus infrastuktur
disalahin jg sama Netizen.....
huffhhtt",1,"Jokowi focuses on infrastructure
Netizens also blame them.....
huffhhtt",0.0,Netral
"​ @mataharisurya-k1v Salahnya itu setiap program disamaratakan. Setiap wilayah punya kebutuhan yg berbeda. Seperti MBG ini, yg butuh daerah 3T. Tapi dapur SPPG nya malah lebih banyak di perkotaan yg jumlah stuntingnya lebih sedikit.
Toh yang namanya pemimpin harus mendengarkan keluh kesah. Kalau salah ya perlu diperbaiki, kalau benar ya kita apresiasi. Kita gak fokus nyalahin jokowi, prabowo, atau siapapun itu secara personal. Pemimpin memang harus mau dikritisi kebijakannya. Gak semua bisa jadi pemimpin kan? Pemimpin emang gak boleh baper dan ngambekan. Sejak awal dia harus siap konsekuensinya mendengar 275 juta orang yg dia pimpin.",19,"​ @mataharisurya-k1v The fault is that every program is generalized. Each region has different needs. Like this MBG, which requires a 3T area. But there are more SPPG kitchens in urban areas where the number of stunting is lower.
After all, leaders must listen to complaints. If it's wrong, it needs to be corrected, if it's right, we appreciate it. We are not focused on blaming Jokowi, Prabowo, or anyone else personally. Leaders must be willing to be criticized for their policies. Not everything can be done",0.07653061224489796,Positif
Para mahasiswa ini emang perlu surve daerah daerah...terutama luar Jawa.. Buat meraka paham kondisi sebenarnya  jadi gak asal ngomong,2,These students really need to survey areas... especially outside Java... To make them understand the real conditions so they don't just talk.,0.13333333333333333,Positif
​ @JoniKALAMMOTOR keliatanya km punya dapur MBG,13,​ @JoniKALAMMOTOR looks like you have an MBG kitchen,0.0,Netral
"@Jon @JoniKALAMMOTOR DAH TAU KONDISI SUSAH KAYA GITU KENAPA HARUS DI COBAIN SEMUA RAKYAT? KENAPA MALA NYURU MAHASISWA IKUT COBAIN? APA KALO ORANG KRITIK YANG COBAIN KESULITAN GITU NAIK PERAHU BAKAL PERBAIKI KEADAAN? NGGAK KAN? KENAPA NGGA PEMERINTAH YG KELAS ADA UANG ADA ANGGARAN NGGA BENERIN INFRASTURKTURNYA BIAR NGGA PAKE PERAHU LAGI? Ini common sense jir, kaya apa otak lu ga muter mikir kaya gitu?",8,"@Jon @JoniKALAMMOTOR YOU KNOW THAT CONDITIONS ARE SO DIFFICULT, WHY SHOULD ALL PEOPLE TRY? WHY DOES MALA URGE STUDENTS TO JOIN COBAIN? WHAT IF A CRITICIOUS PEOPLE TRIED THAT DIFFICULTY OF RIDING A BOAT WOULD IMPROVE THE Situation? ISN'T IT? WHY CAN'T A CLASS GOVERNMENT THAT HAS MONEY AND A BUDGET HAVE INCREASED ITS INFRASTURCTURE SO THEY DON'T USE BOATS ANYMORE? This is common sense, sir, how can your brain not think like that?",-0.4,Negatif
"​ @JoniKALAMMOTOR Gak usah keluar jawa, di jawa barat siswa yg keracunan MBG aja banyak. Nonton beritanya nggak? Justru di luar pulau yg dapet MBG sedikit banget secara statistik, malah ngumpulnya di pulau Jawa.",7,"​ @JoniKALAMMOTOR You don't need to leave Java, in West Java there are a lot of students who are poisoned by MBG. Do you watch the news? In fact, statistically very few people get MBG outside the islands, instead they gather on the island of Java.",-0.13,Negatif
Bedaaa kelasssss,5,Different classessss,0.0,Netral
"Lenserkan,TDK butu pemerinta pembohonggg",4,"Lenser it, TDK needs a lying government",0.0,Netral
Publik speaking tidaklah semudah kerja2 di lapangan.debat dn dialok di ruangan ber AC tidaklah semudah dilapangan menuju Indonesia yg di harapkan.smg pemerintah mengangkat orang2 kritis untuk di ikut sertakan kelapangan jika selama 2.sampai 3 bulan ada perubahan yg di harapkan.lantik saja terus di bidangnya masing2 jika harapannya tidak sekata.itu hanya oman2 sj.,1,Public speaking is not as easy as working in the field. Debating and dialogue in an air-conditioned room is not as easy as being in the field in Indonesia as expected. The government appoints critical people to participate in the field if within 2 to 3 months there are changes that are expected. Just keep appointing them in their respective fields if the expectations are not the same. That's just bullshit.,0.08333333333333334,Positif
